Ministério,Categoria 01,title/pt-BR,body/pt-BR
Educação,Novos Programas Governamentais,PARIR NÃO É PARAR: apoio para as mães estudantes em todas as etapas de ensino,"Fortalecer o acesso e a permanência para as mães estudantes em todas as etapas de ensino, com especial olhar para as mais jovens que estão na Educação Básica, como estratégia de redução da evasão escolar e combate à precarização do trabalho feminino e materno."
Cidades,Habitação / Transporte Coletivo / Mobilidade,"Cidades: moradia, transportes e seguranca","O governo precisa investir em moradias dignas para quem não tem moradia e para quem mora em comunidades periféricas, as Favelas. Criando comunidades com moradias dignas, ruas, esgoto, calcamento, água, energia, escolas, centros de cultura. Criação de projeto de segurança e cidadania sem mortes da população pobre e preta. Investimento em transportes públicos de qualidade como ônibus elétricos, vlts, metros. Investimento urgente em rução e melhorias das nossas ferrovias para cargas e passageiros."
Saúde,Atenção Primária / Reformas Revitalizantes / Ampliação de Infraestrutura,Atenção à Saúde da Mulher nas Unidades Básicas de Saúde ,"Para garantir um atendimento digno a mulher brasileira, se faz necessário o retorno do profissional ginecologista nas Unidades Básicas de Saúde, o especialista possui a competência necessária para atender a mulher em todas as suas demandas e complexidades, seja na área de prevenção, diagnóstico, controle de doenças e encaminhamentos. Essa ação vai promover e garantir acolhimento, fortalecimento de vínculos entre médico e paciente, além de mais saúde as mulheres do nosso país."
Educação,Pesquisa Científica / Servidores Públicos / Reformas Revitalizantes,"Educação pública: infraestrutura, investimentos, pesquisa e valorização do professor","O governo precisa com urgência investir em construções de escolas padrões  de qualidade para todos os níveis da educação básica, uma vez que temos realidade de escolas antigas sem estrutura adequada nenhuma.  Maior investimento em pesquisa, em alimentação, escolas integrais, incluindo a inserção de psicólogos, assistentes sociais, professores de artes, culturas e esportes. Maior valorização do professor com melhores salários, criação do plano de carreira nacional, pesquisa e formação."
 Integração e Desenvolvimento Regional,Preservação do Patrimônio Ambiental / Abastecimento,Incentivo ao plantio e manutenção de árvores nas calçadas,"Política de incentivo ao plantio e manutenção de árvores nas calçadas em ambientes urbanos. 

Sabe-se que as árvores urbanas contribuem para melhoria  da qualidade de vida nas cidades por meio de serviços ecológicos essenciais. Destacam-se a redução da poluição do ar, a interceptação da água de chuva, o sombreamento e estabilização da temperatura, a redução do ruído, e a promoção de melhorias no bem-estar psicológico e físico relacionados, entre outros fatores, à estética criada."
Saúde,Novos Programas Governamentais,Cadastro único para pessoas com necessidades especial ,"Neste cadastro consta todos suas necessidades: em questões de remédios, fraudas etc. E que as pessoas possam só renovar de seis ou até um ano. Porque é muita burocracia e muito sacrifício para os doentes e seus familiares."
"Ciência, Tecnologia e Inovação",Novos Programas Governamentais,Fiscalização: criação de um app nacional de fiscalização de verbas e obras,"Crianças um app nacional para que possamos fiscalizar todas as obras do país, incluindo valores gastos, andamento das obras, tempo para construção, por meio de imagens, relatos para que possamos exigir o cumprimento de obras e serviços.  Além disso fiscalizar as verbas enviadas aos municípios e estados sabendo todo direcionamento do dinheiro. No app teria função de denúncias, fiscalização e os órgãos executores teriam q seguir os prazos de cada obra, caso contrário, teriam que ser punidos."
Desenvolvimento Agrário e Agricultura Familiar,Dados Pessoais / Ampliação de Infraestrutura / Sistema S / Agro,Cooperativismo ,"Implementar ok programa de apoio a formação de cooperativas de produção e comercialização da agricultura familiar, através do sistema S - Sebrae e Senar"
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Universidades / Abastecimento,"Rede de Restaurante populares com escolas, universidades e assistência social ","O restaurante popular garante comida de qualidade nutricional a baixo custa para pessoas de baixa renda, estudantes de escola em tempo integral e estudantes universitários. Em período de volta da fome e aumenta do preços de alimentos e combustível a Rede de restaurantes popular (RRP) traz comida de qualidade (comprada de pequenos produtores), com preços acessíveis para todos aqueles que precisam.
A rede deve ficar próximo a lugares de grande movimentação, como escolas, universidade e outros."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Universidades / Abastecimento / Sugestão de Convênios Interfederativos,Restaurante Universitário Comunitário ,"Um restaurante popular dentro da UFPB Campus 1. Com recursos do Tá na mesa do gov estadual. E da prefeitura tb, no projeto do bandejao.

Esse restaurante seria o modelo de cooperação entre município, governo do estado, e governo federal. Garantindo a autogestão de restaurante universitário,  ampliando e transformando em um grande restaurante popular, atendendo comunidades carentes e garantindo a segurança alimentar dos universitário."
Educação,Empregabilidade / Ampliação de Infraestrutura / Universidades,Melhoria do acesso de estudantes de tecnologia a estágios supervisionados.,"O governo federal deve implementar um programa de incentivo às empresas de tecnologia para oferecerem vagas de estágio supervisionado aos estudantes de Análise de Sistemas, Ciência da Computação e Sistemas de Informação. O programa pode incluir bolsas de auxílio financeiro para cobrir despesas com transporte e alimentação, além de parcerias com empresas e universidades para facilitar o processo de seleção e encaminhamento dos estudantes aos estágios. Os estudantes terão mais chances no Mercado."
Transportes,Transporte Coletivo / Mobilidade / Ampliação de Infraestrutura / Sugestão de Convênios Interfederativos,Ampliação do acesso ao metrô em grandes cidades,"O governo federal deve investir em novas linhas e modernização dos sistemas já existentes do metrô, além de promover a integração com outros modais. Políticas de incentivo, como tarifas acessíveis e campanhas de conscientização, são importantes para melhorar a mobilidade urbana e reduzir problemas de trânsito e poluição nas cidades com mais de 500 mil habitantes. Com essas ações, é possível melhorar a qualidade de vida da população e reduzir os problemas de trânsito e poluição nas cidades."
Cidades,Fundos Públicos / Preservação do Patrimônio Ambiental / Reformas Revitalizantes,Proposta de criação de Fundo Nacional para Conservação de Jardins e Praças Públicas,"Fundo Nacional para a Conservação dos Jardins e Praças Públicas, com recursos do Ministério do Meio Ambiente e empresas privadas. Os municípios apresentariam projetos para receberem recursos para a manutenção e conservação dos jardins e praças, incluindo poda, limpeza, plantio e outras ações para melhorar a qualidade desses espaços. O objetivo é incentivar políticas públicas para a preservação do meio ambiente e a melhoria da qualidade de vida da população."
Saúde,Ampliação de Infraestrutura,"Inserção dos Nutricionistas  nas redes de Ubs para atendimento ao público geral. Crianças,  idosos, adultos, gestantes, crianças especiais  e outras.","Toda cidadã é digno de direito a qualidade de vida  e alimentação adequada regido pela lei SAN.  Assim como saúde, desde o seu nascimento, vejo que é de ilustre importância a participação ativa no Nutricionista no primeiro atendimento, desde gestantes há todo ciclo de vida, com acompanhamento de crianças de primeira idade pelo CID obrigatório. Prevenindo patologias e ativação de gatilhos genéticos. Ter acesso à dieta digna.  É algo muito agregador à saúde pública, combate à fome e à desnutrição."
Transportes,Mobilidade / Abastecimento,Isenção de Pedágio para caminhão de transporte que carregam alimentos da cesta básica. ,Tal requerimento tem o objetivo de amenizar os custos dos alimentos para o consumidor final
Esporte,Ampliação de Infraestrutura / Lazer,Profissionais de Educação Física nas ATIs (Academias da Terceira Idade),"A seguinte proposta tem como objetivo melhorar a usabilidade das ATIs por meio da orientação de profissionais de educação física, prevenindo desta forma a ocorrência de lesões, uma vez que, os aparelhos não apresentam regulagem corporal distinta, além de alguns exercícios exigirem uma maior complexidade na sua execução."
" Desenvolvimento, Indústria, Comércio e Serviços",Revisão de Metodologias / Métodos de Ensino / Institutos Federais,Promoção de cursos técnicos voltados a indústria nacional,"Um dos maiores desafios para o Brasil é acabar com desindustrialização, para fortalecer a indústria é preciso que, além de incentivos do Estado, exista mão de obra qualificada para ocupar postos de trabalho. É preciso que o Governo incentive a criação de cursos, bolsas, programas visando a qualificação profissional da população em empregos voltados a indústria."
Saúde,Atenção Primária / Reformas Revitalizantes / Ampliação de Infraestrutura / Empresas Públicas,Fortalecer o uso das Práticas Integrativas e Complementares no SUS para o tratamento da saúde mental.  ,"Uso das Práticas Integrativas e Complementares no tratamento da saúde mental no SUS para humanização do tratamento. 
Fazer convênio ou parcerias com pessoas físicas ou instituições capacitadas para realizar tratamentos com Práticas Integrativas e Complementares no tratamento da saúde mental. 
Fortalecer a Econômica Solidária e os Bancos comunitários de Desenvolvimento."
